species_id,name,resonance_class,rarity,trigger_type,trigger_summary,phase_target,mvp_surface,art_plan,audio_plan,availability,notes
lunar_moth,Lunar Moth,s2,uncommon,time_series,14 consecutive sleep logs,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,first uncommon sleep streak
glacier_tortoise,Glacier Tortoise,s2,uncommon,metric_frequency,resting HR below 65 recorded 5 times,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,resting metric depth reward
mist_octopus,Mist Octopus,s2,uncommon,combo_count,50 total check-ins with sleep data,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,sleep plus volume reward
frost_fern,Frost Fern,s2,uncommon,trend,HRV improving trend over 14 days,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,HRV trend showcase
twilight_deer,Twilight Deer,s2,uncommon,time_series,20 consecutive evening check-ins,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,late evening mastery reward
mirror_fish,Mirror Fish,harmonic,uncommon,full_data_streak,all vital types logged for 7 consecutive days,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,deep completeness reward
pendulum_moth,Pendulum Moth,harmonic,uncommon,listening_post,first Listening Post reached,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,requires Listening Posts
phase_spider,Phase Spider,harmonic,uncommon,streak,21-day streak,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,late uncommon streak reward
tide_crab,Tide Crab,harmonic,uncommon,total_count,100 total check-ins,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,long-horizon volume reward
weave_bird,Weave Bird,harmonic,uncommon,healthy_range_combo,BP and HR both in healthy range for 7 days,phase_4_ship,silhouette_in_mvp,phase_4_final_required,phase_4_audio_required,free,combined-range reward
